Product Code,Sale Date,Qty Sold,Net Amount
MILK-001,19-06-2026,82,5084
EGGS-002,19-06-2026,10,1850
CURD-003,19-06-2026,28,896
RICE-004,19-06-2026,15,4200
FLOR-005,19-06-2026,20,960
COIL-006,19-06-2026,8,1560
BNCH-007,19-06-2026,38,1710
MIXT-008,19-06-2026,16,1280
RCHL-009,19-06-2026,13,715
GRMS-010,19-06-2026,7,196
TEA-011,19-06-2026,15,1125
COFF-012,19-06-2026,4,780
SURF-013,19-06-2026,5,690
VMDW-014,19-06-2026,3,195
SOAP-015,19-06-2026,7,315
MILK-001,18-06-2026,90,5580
EGGS-002,18-06-2026,13,2405
CURD-003,18-06-2026,32,1024
RICE-004,18-06-2026,20,5600
FLOR-005,18-06-2026,25,1200
BNCH-007,18-06-2026,45,2025
TEA-011,18-06-2026,18,1350
MILK-001,17-06-2026,78,4836
EGGS-002,17-06-2026,11,2035
RICE-004,17-06-2026,16,4480
BNCH-007,17-06-2026,40,1800
