Item Code,Closing Stock,Last Purchase Cost,Expiry Date,Batch No
MILK-001,18,54,22/06/2026,BATCH-A-2024-001
EGGS-002,0,160,,BATCH-A-2024-002
CURD-003,12,26,24/06/2026,BATCH-A-2024-003
RICE-004,90,240,,BATCH-A-2024-004
FLOR-005,110,38,,BATCH-A-2024-005
COIL-006,63,165,,BATCH-A-2024-006
BNCH-007,35,32,27/06/2026,BATCH-A-2024-007
MIXT-008,40,58,,BATCH-A-2024-008
RCHL-009,28,42,29/06/2026,BATCH-A-2024-009
GRMS-010,55,20,,BATCH-A-2024-010
TEA-011,48,60,,BATCH-A-2024-011
COFF-012,15,162,,BATCH-A-2024-012
SURF-013,30,115,,BATCH-A-2024-013
VMDW-014,20,52,,BATCH-A-2024-014
SOAP-015,25,36,,BATCH-A-2024-015
